,0
71,". Delivering a nurse led ‘managing problematic anger’ treatment programme in a high security psychiatric hospitalp. 197. In: Violence in Clinical Psychiatry. Eds: Needham I, Nijman H, Palmstierna T, Almvik R, Oud N. Proceedings of the 7th European Congress on Violence in Clinical Psychiatry. 19–22 October 2011; Prague. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2011. St.Olavs University Hospital, Forensic dep. Bröset, Trondheim, Norway. "
72,"Delivering a nurse led ‘managing problematic anger’ treatment programme in a high security psychiatric hospital. David Jones, Samantha Toyn, Christopher Wood. In: Violence in Clinical Psychiatry. Eds: Needham I, Nijman H, Palmstierna T, Almvik R, Oud N. Proceedings of the 7th European Congress on Violence in Clinical Psychiatry. 19–22 October 2011; Prague. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2011. p. 197. "
73,"Reduction of hospital assaultive behavior following CBT anger treatment of male offenders having intellectual disabilities. Raymond Novaco, John Taylor. In: Violence in Clinical Psychiatry. Eds: Needham I, Nijman H, Palmstierna T, Almvik R, Oud N. Proceedings of the 7th European Congress on Violence in Clinical Psychiatry. 19–22 October 2011; Prague. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2011. p. 198. "
74,"Cognitive-behavioural anger treatment for low functioning clients. John Taylor, Raymond Novaco. In: Violence in Clinical Psychiatry. Eds: Needham I, Nijman H, Palmstierna T, Almvik R, Oud N. Proceedings of the 7th European Congress on Violence in Clinical Psychiatry. 19–22 October 2011; Prague. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2011. p. 199. "
75,"Anger treatment therapist training level effects with male forensic intellectual disability patients. John Taylor, Raymond Novaco. In: Violence in Clinical Psychiatry. Eds: Needham I, Nijman H, Palmstierna T, Almvik R, Oud N. Proceedings of the 7th European Congress on Violence in Clinical Psychiatry. 19–22 October 2011; Prague. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2011. p. 201. "
76,"Explanations of reduced aggression rate in a security ward. Ragnar Urheim,Tom Palmstierna, Knut Rypdal, Arnstein Mykletun. In: Violence in Clinical Psychiatry. Eds: Needham I, Nijman H, Palmstierna T, Almvik R, Oud N. Proceedings of the 7th European Congress on Violence in Clinical Psychiatry. 19–22 October 2011; Prague. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2011. p. 202. "
77,". Predicting inpatient violence in a Psychiatric Emergency Service using a French version of the Brøset-Violence-Checklist: a prospective cohort studyp. 205. In: Violence in Clinical Psychiatry. Eds: Needham I, Nijman H, Palmstierna T, Almvik R, Oud N. Proceedings of the 7th European Congress on Violence in Clinical Psychiatry. 19–22 October 2011; Prague. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2011. Response Training Programs, Shutesbury, USA of violence. p. 205. "
78,"Predicting inpatient violence in a Psychiatric Emergency Service using a French version of the Brøset-Violence-Checklist: a prospective cohort study. Rahael Bordas, Eric Bui, Etienne Very, Rachel Rodgers, Laurent Schmitt. In: Violence in Clinical Psychiatry. Eds: Needham I, Nijman H, Palmstierna T, Almvik R, Oud N. Proceedings of the 7th European Congress on Violence in Clinical Psychiatry. 19–22 October 2011; Prague. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2011. p. 205. "
79,"Empirical findings of valid self-report of violence and self-injury: Why don’t we ask the patients?. Stal Bjorkly, John Olav Roaldseth. In: Violence in Clinical Psychiatry. Eds: Needham I, Nijman H, Palmstierna T, Almvik R, Oud N. Proceedings of the 7th European Congress on Violence in Clinical Psychiatry. 19–22 October 2011; Prague. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2011. p. 212. "
80,"Using the SOAS-R in Lausanne psychiatric department: Results and questions emerging after 30 months of investigation. Didier Camus, Mehdi Gholam Rezaee, Nicolas Kühne, Jean-Philippe Duflon, Jean-Michel Kaision. In: Violence in Clinical Psychiatry. Eds: Needham I, Nijman H, Palmstierna T, Almvik R, Oud N. Proceedings of the 7th European Congress on Violence in Clinical Psychiatry. 19–22 October 2011; Prague. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2011. p. 214. "
81,"Aggression and affective temperament in unipolar depression and bipolar disorder outpatients and healthy volunteers. Barbara Dolenc, Lilijana Šprah, Mojca Zvezdana Dernovšek. In: Violence in Clinical Psychiatry. Eds: Needham I, Nijman H, Palmstierna T, Almvik R, Oud N. Proceedings of the 7th European Congress on Violence in Clinical Psychiatry. 19–22 October 2011; Prague. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2011. p. 215. "
82,"Emotional profile in association with aggression in patients with major depression and bipolar mood disorder in comparison with healthy volunteers. Barbara Dolenc, Lilijaa Šprah, Tadeja Frangeš, Mojca Zvezdana Dernovšek. In: Violence in Clinical Psychiatry. Eds: Needham I, Nijman H, Palmstierna T, Almvik R, Oud N. Proceedings of the 7th European Congress on Violence in Clinical Psychiatry. 19–22 October 2011; Prague. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2011. p. 221. "
83,"Safety risk profile at Dimence, a mental health care organisation in The Netherlands. Ellen van der Haar, Carla de Bruyn, Agnes Blom. In: Violence in Clinical Psychiatry. Eds: Needham I, Nijman H, Palmstierna T, Almvik R, Oud N. Proceedings of the 7th European Congress on Violence in Clinical Psychiatry. 19–22 October 2011; Prague. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2011. p. 223. "
84,"Aggression and violence in Psychiatric, Emergency and General Hospital settings: an Italian experience. Paola Ferri, Rosaria Di Lorenzo, Francesca Reggiani, Marco Rigatelli. In: Violence in Clinical Psychiatry. Eds: Needham I, Nijman H, Palmstierna T, Almvik R, Oud N. Proceedings of the 7th European Congress on Violence in Clinical Psychiatry. 19–22 October 2011; Prague. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2011. p. 224. "
85,"Aggression Profile and Guidelines. Pia Kielberg, Anne Jensen. In: Violence in Clinical Psychiatry. Eds: Needham I, Nijman H, Palmstierna T, Almvik R, Oud N. Proceedings of the 7th European Congress on Violence in Clinical Psychiatry. 19–22 October 2011; Prague. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2011. p. 230. "
86,"Vulnerability factors in the explanation of workplace aggression: A longitudinal study among Dutch penitentiary workers. Fanny Klerx-van Mierlo, Stefan Bogaerts. In: Violence in Clinical Psychiatry. Eds: Needham I, Nijman H, Palmstierna T, Almvik R, Oud N. Proceedings of the 7th European Congress on Violence in Clinical Psychiatry. 19–22 October 2011; Prague. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2011. p. 232. "
87,"An introduction to the SAFE-E Comprehensive: A user-friendly electronic data package for violence risk assessment and management in forensic psychiatry. John Vegard Leinslie, Christine Soot Sandli, Stål Bjørkly. In: Violence in Clinical Psychiatry. Eds: Needham I, Nijman H, Palmstierna T, Almvik R, Oud N. Proceedings of the 7th European Congress on Violence in Clinical Psychiatry. 19–22 October 2011; Prague. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2011. p. 235. "
88,"The efficacy of violence prediction: can homogeneity of the target populations make a difference?. Yuan Yuan Liu, Min Yang, Jeremy Coid. In: Violence in Clinical Psychiatry. Eds: Needham I, Nijman H, Palmstierna T, Almvik R, Oud N. Proceedings of the 7th European Congress on Violence in Clinical Psychiatry. 19–22 October 2011; Prague. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2011. p. 236. "
89,"Women in medium secure care: Changes in risk profiles and engagement over treatment. Clive G. Long, Olga Dolley, Clive R. Hollin. In: Violence in Clinical Psychiatry. Eds: Needham I, Nijman H, Palmstierna T, Almvik R, Oud N. Proceedings of the 7th European Congress on Violence in Clinical Psychiatry. 19–22 October 2011; Prague. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2011. p. 241. "
90,"Psychiatric wards crowding and incidents of aggression and violence. Azam Mahmoudi, Babak Motamedi. In: Violence in Clinical Psychiatry. Eds: Needham I, Nijman H, Palmstierna T, Almvik R, Oud N. Proceedings of the 7th European Congress on Violence in Clinical Psychiatry. 19–22 October 2011; Prague. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2011. p. 244. "
91,"Anxiety and anger as predictors for violent behavior in psychosis: An experimental study. Angela F. Nederlof, Johannes E. Hovens. In: Violence in Clinical Psychiatry. Eds: Needham I, Nijman H, Palmstierna T, Almvik R, Oud N. Proceedings of the 7th European Congress on Violence in Clinical Psychiatry. 19–22 October 2011; Prague. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2011. p. 247. "
92,"Predicting recidivism in two forensic psychiatric populations in the Netherlands. Annet Nugter, Meline Nowak. In: Violence in Clinical Psychiatry. Eds: Needham I, Nijman H, Palmstierna T, Almvik R, Oud N. Proceedings of the 7th European Congress on Violence in Clinical Psychiatry. 19–22 October 2011; Prague. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2011. p. 251. "
93,"Risk Assessment: Predicting physical aggression in child psychiatric inpatient units. Natalie L Phillips, Robyn Stargatt, Leeanne Fisher. In: Violence in Clinical Psychiatry. Eds: Needham I, Nijman H, Palmstierna T, Almvik R, Oud N. Proceedings of the 7th European Congress on Violence in Clinical Psychiatry. 19–22 October 2011; Prague. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2011. p. 255. "
94,"Risk assessment of self and other directed aggression in adolescent psychiatric inpatient units. Natalie Phillips, Robyn Stargatt. In: Violence in Clinical Psychiatry. Eds: Needham I, Nijman H, Palmstierna T, Almvik R, Oud N. Proceedings of the 7th European Congress on Violence in Clinical Psychiatry. 19–22 October 2011; Prague. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2011. p. 258. "
95,"Assessing aggression risks in patients of the ambulatory mental health crisis team. Berry Penterman, Henk Nijman. In: Violence in Clinical Psychiatry. Eds: Needham I, Nijman H, Palmstierna T, Almvik R, Oud N. Proceedings of the 7th European Congress on Violence in Clinical Psychiatry. 19–22 October 2011; Prague. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2011. p. 259. "
96,"PCL-R defined psychopathy and the prediction of inpatient behaviour. Robert Snowden, Nicola Gray. In: Violence in Clinical Psychiatry. Eds: Needham I, Nijman H, Palmstierna T, Almvik R, Oud N. Proceedings of the 7th European Congress on Violence in Clinical Psychiatry. 19–22 October 2011; Prague. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2011. p. 262. "
97,"Correlations among mental illness, substance abuse, and partner abuse: The profile of violence, service utilization, and consequences. Li-yu Song. In: Violence in Clinical Psychiatry. Eds: Needham I, Nijman H, Palmstierna T, Almvik R, Oud N. Proceedings of the 7th European Congress on Violence in Clinical Psychiatry. 19–22 October 2011; Prague. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2011. p. 263. "
98,"Protective factors for violence risk. Clinical results with the SAPROF. Michiel de Vries Robbé, Vivienne de Vogel. In: Violence in Clinical Psychiatry. Eds: Needham I, Nijman H, Palmstierna T, Almvik R, Oud N. Proceedings of the 7th European Congress on Violence in Clinical Psychiatry. 19–22 October 2011; Prague. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2011. p. 267. "
99,"Violence risk assessment and management practices in inpatient psychiatry units. Kelly A. Watt, Mark J. Levy, Catherine Kidd. In: Violence in Clinical Psychiatry. Eds: Needham I, Nijman H, Palmstierna T, Almvik R, Oud N. Proceedings of the 7th European Congress on Violence in Clinical Psychiatry. 19–22 October 2011; Prague. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2011. p. 269. "
100,"Mental health and the movies. David Colton. In: Violence in Clinical Psychiatry. Eds: Needham I, Nijman H, Palmstierna T, Almvik R, Oud N. Proceedings of the 7th European Congress on Violence in Clinical Psychiatry. 19–22 October 2011; Prague. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2011. p. 273. "
101,"An audit upon use of advance statements surrounding management of disturbed behaviour on a UK Psychiatric Intensive Care Unit (PICU). Stephen Dye. In: Violence in Clinical Psychiatry. Eds: Needham I, Nijman H, Palmstierna T, Almvik R, Oud N. Proceedings of the 7th European Congress on Violence in Clinical Psychiatry. 19–22 October 2011; Prague. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2011. p. 275. "
102,"Early intervention by early recognition: patients self-efficacy, coping and detached concern. Karen Lauwaert, Joris Leys, Nataly Fillion, Simon Lagrange, Frans Fluttert, Berno Van Meijel,. In: Violence in Clinical Psychiatry. Eds: Needham I, Nijman H, Palmstierna T, Almvik R, Oud N. Proceedings of the 7th European Congress on Violence in Clinical Psychiatry. 19–22 October 2011; Prague. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2011. p. 277. "
103,"Bullying in youth with epilepsy. Tatiana Falcone, Laurine Sperry, Bobbie Joe Kless, Jane Timmons-Mitchell, Prakash Kotagal. In: Violence in Clinical Psychiatry. Eds: Needham I, Nijman H, Palmstierna T, Almvik R, Oud N. Proceedings of the 7th European Congress on Violence in Clinical Psychiatry. 19–22 October 2011; Prague. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2011. p. 279. "
104,"Risk of violence measured by the SAVRY: a retrospective study in a China sample of male adolescents. Xiang Liu, Xiao Hong Ma, Yue Yu, Lian Sheng Zhao, Ju Ying Zhang. In: Violence in Clinical Psychiatry. Eds: Needham I, Nijman H, Palmstierna T, Almvik R, Oud N. Proceedings of the 7th European Congress on Violence in Clinical Psychiatry. 19–22 October 2011; Prague. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2011. p. 281. "
105,"Adolescent violence: the parallel psychiatric histories of two teenagers. Rosaria Di Lorenzo, Valentina Moretti, Carlo Muratore, Marcella Pighi, Paola Ferri, Marco. In: Violence in Clinical Psychiatry. Eds: Needham I, Nijman H, Palmstierna T, Almvik R, Oud N. Proceedings of the 7th European Congress on Violence in Clinical Psychiatry. 19–22 October 2011; Prague. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2011. p. 283. "
106,"Symptoms of traumatisation related to personality features in children. Vesna Petrovic. In: Violence in Clinical Psychiatry. Eds: Needham I, Nijman H, Palmstierna T, Almvik R, Oud N. Proceedings of the 7th European Congress on Violence in Clinical Psychiatry. 19–22 October 2011; Prague. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2011. p. 292. "
107,"Elder abuse in Iran: Prevalence and associated factors. Gholamreza Garmaroudi, Abolghasem Pourreza, Ezzat Vahidian, Hassan Eftekhar. In: Violence in Clinical Psychiatry. Eds: Needham I, Nijman H, Palmstierna T, Almvik R, Oud N. Proceedings of the 7th European Congress on Violence in Clinical Psychiatry. 19–22 October 2011; Prague. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2011. p. 293. "
108,"The epidemiology of physically and verbally aggressive behaviors of nursing home residents directed at staff. Mark Lachs, Karl Pillemer, Jeanne Teresi. In: Violence in Clinical Psychiatry. Eds: Needham I, Nijman H, Palmstierna T, Almvik R, Oud N. Proceedings of the 7th European Congress on Violence in Clinical Psychiatry. 19–22 October 2011; Prague. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2011. p. 294. "
109,"Elder abuse and neglect syndrome in seniors with psychiatric morbidity. Jan Luzny, Katerina Ivanova, Lubica Jurickova. In: Violence in Clinical Psychiatry. Eds: Needham I, Nijman H, Palmstierna T, Almvik R, Oud N. Proceedings of the 7th European Congress on Violence in Clinical Psychiatry. 19–22 October 2011; Prague. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2011. p. 295. "
